
> mma-robot-landing@0.0.0 epoch2:dump
> node scripts/dump-epoch2-leaderboard.cjs

rank,username,wallet,postCount,score,srEligible,status
1,@「 𝕲𝖔𝖔𝖓」,0x73B6bdf237eD04f40E5684f3e5718F9239B5d64a,20,266.04,true,Eligible
2,@zagen,0x1aad084517ea492a67fcca54048c7e0404ce1ab2,14,258.08,true,Eligible
3,@100xDarren,0xccd05831016B444fFC83F6dA2e018F62849ab34A,14,244.48,true,Eligible
4,@Conan.eth,0x6d69e2d103CE4C147Fa189ee3fdfB88159C907cf,17,212.24,true,Eligible
5,@3DMax_Virtuals,0xA18c066fC86B9e8a91287496ab954fcc414a30AA,9,208.56,true,Eligible
6,@Biz Brain,0xd5A065E5c38c7d87f6B90e920f4e1aCc9722d97a,15,140.17,true,Eligible
7,@office2crypto,0x97Bc998dBDD5D5a9df74cB589F4eabd516D4a22A,8,136.22,true,Eligible
8,@JAYKIII 🎒,0x611c3f4B257fA7f330061D5407bb0f6aDa52cada,17,68.00,true,Eligible
9,@Nguyễn Thắm,0xf5fe70ac5c12905cD802c890c2A401194554d692,14,56.00,true,Eligible
10,@GaoGao,0x8E0da9865A8B2EE06921B877222DABE4c4d3D8d9,13,52.00,true,Eligible
11,@dinhxomgon,0x9C3419A8D3B46E5c7150e8f6e3Ec1A8afc1E9Db9,9,41.45,true,Eligible
12,@Frank.eth,0x9D3CA3A3Da4d033ACee296D4C1829cc5143e0fAE,12,41.25,true,Eligible
13,@hitas.base.eth,0x4830764Cb1252Fc7553231E2FBF5b09961a29c59,5,26.93,true,Eligible
14,@健康JK,0x88b791A2fA058B183Ccbfc11d36027C7a7e0D362,4,16.00,true,Eligible
15,@alfakeko,0x471fAF231212caAD6554B4E3ec1fC5255f36F468,3,12.25,true,Eligible
16,@sheepmek,0x40A2C0F8D5b2B42059be294e25cE7bcaF1ddc652,2,8.00,true,Eligible
17,@一千万是只猫,0x04feE3fC468ac0595eE56F1913005F220c5685fD,1,4.00,true,Eligible
18,"@CODY01ETH (*,*)",0x7fCbefaE32efde50630e91B8B2346887838a7fbD,1,4.00,true,Eligible
19,@chase,0x88Df9f66ef65c3C1231f981c85f7B946Bf6d99EC,3,21.00,false,Not eligible
20,@T N,0x214522796492859788Ffb807aF8a356672a8bB56,4,20.00,false,Not eligible
21,@Rare,0x271c72589f10D8eA866eDB97b9db09ab12ab9721,6,19.94,false,Not eligible
22,@CODED,0xcb1862d265c726b57592f795a4c20cbfbc892899,4,19.75,false,Not eligible
23,@deFiprinces,0x56c4924FDA0a46490f2135Ca259e7Bf1aFfE9B52,4,19.50,false,Not eligible
24,@Rosetina Degen 🎩🎒,0x53bB62BFBa912847D0B8d3eff55542bAE991bb0D,2,19.25,false,Not eligible
25,@tyr 🐺,0xd9926e2232b49bab2e1543613d286622411accaa,2,19.04,false,Not eligible
26,@Dzola,0xC6776bBa507Ed718C9D7AeE70b0eA1B1C26ec8Af,2,18.75,false,Not eligible
27,@SpilsA,0xC967255394fa6BD630F8405bD69b51d70Ad73F01,4,18.72,false,Not eligible
28,@Wozbekk,0x19221Aa28cc6269293bC6A3bae4001C93CE38cBf,5,18.72,false,Not eligible
29,@HBO,0x1A062aA6EFD4Be430B71Fa1436d72ec24bB381AB,6,18.43,false,Not eligible
30,@Em Bi grvt🍏,0x9202744fc4f6ae71272f6204c707e1bfd3694fae,4,18.25,false,Not eligible
31,@David,0x863e3ca52239be57ff34209f26f416f4a083de3d,3,18.25,false,Not eligible
32,@ValeriiVSL | 𝔽rAI,0x71004760Eb3F6Fb351358aBD8cfe7B481F5e086A,3,18.20,false,Not eligible
33,@Oscar,0x5F41297c6c24B5C549E2f673c1e4038bf0cf76f9,2,18.00,false,Not eligible
34,@6iks,0x9EA429C0EB345A5b73a2ea696fb8B819E57D2fdd,11,17.86,false,Not eligible
35,@rebeccacoupland,0x9c6b6EE9f10e2a63d94974b7A37Df0F1D7457B16,4,17.85,false,Not eligible
36,@ayıfero,0xABE08B81Dd3D7d67d8Aa753CE37195D02aB4383D,4,17.85,false,Not eligible
37,@SYNEX,0x11e6f1205160b970feb003161f18edffc58fBb73,3,17.76,false,Not eligible
38,@Crypty Universe📊,0x8996a21b8cf30a741078f995d9a58f6c543a0ca4,2,17.75,false,Not eligible
39,@MNWeb3,0xa3b1dc050f3a81f6fb5ffe52a7dc995545304198,6,17.53,false,Not eligible
40,@Ozan,0xDaa357631250d237E46C2648c7CbF32Ed470A55d,4,17.50,false,Not eligible
41,@SofiX.eth (reader arc) 📖,0x3d3c9859CDe8eF1A51456f7166BB17d7CFb1D6e6,2,17.46,false,Not eligible
42,@SADIQ ,0x002CcB36a4e4Da1c24c6C84F8939D0141529c3ef,3,17.39,false,Not eligible
43,@Mr_Josephhh 🤖ボッ,0xB23f40e5F70b5617aB0918123C39Aa20fb9Bc620,4,16.98,false,Not eligible
44,@ABBA,0x03fa24549d896DD8B582568BD17c27B1f63B1f10,3,16.97,false,Not eligible
45,@LEV,0x6c3a90c5Da8b1D74dEdE154B0e441927F2C97524,5,16.82,false,Not eligible
46,@呆呆呆呆🔸🐬TermMax,0x0D35D958ea4646D9378644848222dCcE4127BBa2,5,16.75,false,Not eligible
47,@Eccentric 🦈 KGeN 🐬TermMax,0xB794CbB6FDca6E47d537De61010675669A86Ff57,4,16.70,false,Not eligible
48,@heymen33,0xC2838c5F882f43958ac6993b5195618595C3F283,2,16.44,false,Not eligible
49,@hakan,0xF5C7F48887536E4E8F4a947472546bA81E74c569,3,16.25,false,Not eligible
50,@mesut,0x543e3C00E9C6C0Ed2Ef420302a574F1DCFa83e93,3,16.25,false,Not eligible
51,@luluca_pp,0x750Ff9679d229CcC28Ba6E011bAc955926333146,3,16.06,false,Not eligible
52,@apelkorv,0x86515adbbc3A02D7f5cceD10885150502C776cBC,3,16.03,false,Not eligible
53,@Nexora,0x9ff4359d5f8611084e608139d99deefe740b9d3c,2,16.01,false,Not eligible
54,@0xvinhpham,0x3aedb97569ad578038498af46f071045b1f36476,4,16.00,false,Not eligible
55,@Aemar (✱ ✱),0x1d89d1cde8f01e5620debbcae90c312246a9f68c,3,16.00,false,Not eligible
56,@Sajib,0x3De953c945C8C5E351b5667904fCBd1AdC558A20,3,16.00,false,Not eligible
57,@XLⓂ️,0x697c9B0E6b16c1239d82F9f01D792796887a396b,4,16.00,false,Not eligible
58,@callmeperry3,0xeCe7205C26F7D58b1eD899fac8e68D2EE49247b4,2,16.00,false,Not eligible
59,@𝐃Ξ𝐆Ξ𝐍𝐊𝐈𝐃,0xbdfa3d13E5644fBa20aB3EB1d354693D404D281b,3,15.75,false,Not eligible
60,@Dhark💙,0x85293459625474693ee335f430be38e7e84516e6,3,15.75,false,Not eligible
61,@edgar,0xc2ce378434bF3500e5CF894F7eC57Be6C8AA1466,3,15.57,false,Not eligible
62,@WingroveRobert,0xc47BE2036326bA92Fa68DC2F2BA16952b8f85604,3,15.53,false,Not eligible
63,@KASIM Muhammad,0xFfFb536b929118A05785786f182333ff855d4339,3,15.51,false,Not eligible
64,@CRYPTO ALVERON,0x713c8aEa444C2Ad739D0f7fD84a8951830735bF6,5,15.50,false,Not eligible
65,@MIKEY,0xbbbbdf3ab00a2b1e72893b712ae484b8b0a903e8,3,15.49,false,Not eligible
66,@Amie,0x885f7b41cff62c8309bd609b8bca4332dafd3675,3,15.47,false,Not eligible
67,@Gujil Ruipa,0x147da61d038Faee3b73Fa90AdcE9A2abC2d87558,3,15.43,false,Not eligible
68,@Shawon MN,0x6c35a1bc15F0508c434Dc118Aa5a6f1f3Fe57418,2,15.01,false,Not eligible
69,@EyoAugusti,0x71e8E723a83305C8625AfA7BD135e502F7714d09,2,15.00,false,Not eligible
70,@Viora,0x6865D33a359b2ab9D46CAE2762e9Ed3Fa9a4145e,3,15.00,false,Not eligible
71,@Black Miami🧚🏿‍♂️,0x86678f2b6ca3f126666c59612f2428528340cfb6,3,14.92,false,Not eligible
72,@BigFarm 🌸,0xf93a9bd47f02cb3e89d5e9d0fbd18e4a21ff9511,6,14.75,false,Not eligible
73,@Monkey D. Rupiah 🤖ボッ 🐬TermMax,0xB72Baf8959052Fa2386F27584c7a1F708709f885,3,14.74,false,Not eligible
74,@Nguyen Phan Hoai Nam,0x3074dB7DdfEF10a64925a6a6123379679F86EAa1,4,14.67,false,Not eligible
75,@JhaliaArmas,0x0e5Dd9602Ab1584776cA0163bc9F0830B0274338,4,14.66,false,Not eligible
76,@Indra DJ,0xb6A5feD504dF5c3a61B5bf83Fb01e5Eb1A7F3DbC,3,14.50,false,Not eligible
77,@Choi_Soo_Sun_,0x949aB7B5d74D4de6936e0C6fa02146C47A1dBbf5,4,14.48,false,Not eligible
78,@Chorux,0xBfB6b759E824CfdFe81e475DE2a4dad15f31c765,2,14.29,false,Not eligible
79,@Verma,0x96FB478eAda938765Ba686DF6988a6EAAB49e416,4,14.25,false,Not eligible
80,@Scott,0xed3624c2f9e5cfed7b045141b5d1df68f9a960e6,3,14.25,false,Not eligible
81,@Tarik_DeFi,0xB6381D7958EB73E0f8771FDf3350B33d4bB9f235,2,14.25,false,Not eligible
82,@Dapper,0x590997bf8f5249fb6703c151ddd7c19b0434abd3,5,14.17,false,Not eligible
83,@Knox.eth🍌,0xAF83a69b531e52D184fEAE7D3F3cA3697dCfF592,3,13.75,false,Not eligible
84,@Clinton,0xf8e5bdF253aD5Be1d254433cF0Ee2E179A35E8e4,6,13.25,false,Not eligible
85,@Timcrypt,0xc1e337bf5977d0947f6a298c0a8be225093f1716,4,13.25,false,Not eligible
86,@Trenchwalker,0xabe2e29a2916b1d494eb2ceb998b46d8c06ec2e6,8,13.23,false,Not eligible
87,@Ahonaf Shariar Nihal,0x3e84F76A360af2fb9e2b33fe015d7bdd3953b260,4,13.20,false,Not eligible
88,@patricia ana .❤,0xCe84c05918315Fbc43348a886EC6839264241843,3,13.19,false,Not eligible
89,@Yemi,0xb60914d451886297FE4e3517bc0970BAC1E4E0B9,7,13.19,false,Not eligible
90,@Eternal,0x408b95510e8e5a1d065ebd8ac8858eacc8478ad8,3,13.16,false,Not eligible
91,@NightCitizen,0xa5d4479e06e1C397d81869436f622AAE06b801C9,4,13.00,false,Not eligible
92,@Mustapha bappayo,0xdadaff041dd50ff24317382e51325a708de446f2,3,12.98,false,Not eligible
93,@Andy the Jet 🐬TermMax,0xfe2cB10B37Cb2060C21b1f4fB9Ac5e8AF1CdCA2D,5,12.83,false,Not eligible
94,@Kyo,0x00edf8e6eee1706bca287d6e9ed23bf767fc4a07,4,12.76,false,Not eligible
95,@Dannyboy_0x,0x081d4609e4948e678021112fac0c442d4f6d355b,3,12.75,false,Not eligible
96,@Frankly Speaking,0xB5f319AaB9a35cFaf7b079c20cC43590Fb1252F0,3,12.75,false,Not eligible
97,@Oguntoba folagbade williams,0xdd8062e955799ddb7e1849ef1f830345e3a13d72,5,12.56,false,Not eligible
98,@rheRealjohnDoe⛓️🎗️ボッ,0x8074C4Fe871B511Cd7416083b15fA72AE68fE8ce,3,12.50,false,Not eligible
99,@lorento,0x564345897F26d1653A88BD1456d4090ebeB4405c,2,12.44,false,Not eligible
100,@SAJIB,0xEa4Acb9c4C8F068EAF38e9EFb658F04650318dAF,2,12.43,false,Not eligible
101,@Mariko0x,0xEd49Eb1503fD3cC40744bF1474926Faaf6a08BDf,4,12.27,false,Not eligible
102,@Thuy Signals,0x0d73E1f2bbdB8a39C19e94fF71C6765429DDE485,4,12.09,false,Not eligible
103,@花白区块链.🐬TermMax🕊,0x49Cf9f12d3E78E3A5A6B34073274d11d6b012e62,7,12.00,false,Not eligible
104,@FoFan,0x9df5cf833ced34428d7be5efc421f1075f7a96f7,3,11.75,false,Not eligible
105,@Oluwafemi👑❤️🚀,0xeB007A72346edf26e9910957AF4c2c14853EDE2d,8,11.67,false,Not eligible
106,@Griner,0x68db396c4f88fe96d9ec7d3c9bc80baf82bb7f87,4,11.66,false,Not eligible
107,@Pham Phu Dung,0x9f4eb3a88ba7a263facebd58d56b6c6f879db34f,5,11.10,false,Not eligible
108,@Willow,0x7410dd515287bf51a95cf7e3fd220210413c9b5c,4,11.00,false,Not eligible
109,@Li🥳🥳 🦇 (✱ ✱),0xcfdd620d944361a91860b846679594bceab2738c,3,11.00,false,Not eligible
110,@Hizqil,0xa64768627f4eBdCac40CD830485987ac2E6a760d,2,10.98,false,Not eligible
111,@Mr.Jack 🐬TermMax,0x7ddb22b48ccb1104f24e98d5f74b97f46c9ec888,5,10.97,false,Not eligible
112,@Krnkmr,0x61eE15C1831ed97005f1dCa65f9821745eC766Ad,2,10.80,false,Not eligible
113,@Promzy,0x96421ac7d040518ac5e667201254d032864f3e23,8,10.68,false,Not eligible
114,@Furkan,0xff3a3cfc42d27e85dba9ea85f0bfec34bd632f9a,2,10.52,false,Not eligible
115,@Babe !!,0x09b44e1722d6b9CBe020fC045e463b1bAf3d6e6D,2,10.50,false,Not eligible
116,@TabDel0x 🐉🐉,0x5777DA469aF845AdE4E0c89D7AEcA5db9879E0B2,2,10.25,false,Not eligible
117,@jani_jenus.eth 𖤐,0xF4cEB967489c0ED4065cB48efF4506409B145ded,3,10.25,false,Not eligible
118,@Lan Anh,0x5c689c48001bf8bd5F732A88911A66A99639e056,2,10.25,false,Not eligible
119,@Travis,0x150905B32B99a5974b846466096Cf51EDf8FDc96,3,10.15,false,Not eligible
120,@kosturmabeni1,0x8F772Af47D8B510D859f47398b43864DDd3F435D,3,10.00,false,Not eligible
