walletAddress,xHandle,displayName,srBalance,postCount,score
0x611c3f4B257fA7f330061D5407bb0f6aDa52cada,@LongL2282268,JAYKIII 🎒,10869.9742,17,68.00
0x2AA3D9acc0818855Cf7F1567a6C235B9702246D5,@sothh84,Sothh.HC,10028.9552,16,64.00
0x6e7dbB10343c03DA3f07DC6B6a4747C7748Fd47A,@dang_duytan,GodAir,10127.8567,15,60.00
0xd5A065E5c38c7d87f6B90e920f4e1aCc9722d97a,@bizbrainzuni,Biz Brain,10265.3181,14,56.00
0xf5fe70ac5c12905cD802c890c2A401194554d692,@nguyenthambt,Nguyễn Thắm,10105.2771,14,56.00
0x8E0da9865A8B2EE06921B877222DABE4c4d3D8d9,@gaogaocrypto,GaoGao,16146.5895,13,52.00
0x2d8E97569C42d3A387E948a6A8bCd6474B47E39b,@bencryptovnn,Ben Crypto,15647.4493,13,52.00
0x3ae1Cfea83DA97D533Bb5f5E6E31C4ecDea3E057,@sashinmeena,sashinmeena,10387.5570,11,44.00
0xB0c7084Fc05ed9827683dc38766a930d083af6C4,@Drkhaleefah2,MEDICO,10089.1277,11,44.00
0x9C3419A8D3B46E5c7150e8f6e3Ec1A8afc1E9Db9,@dinhturin,dinhxomgon,13079.0491,8,32.00
0x73B6bdf237eD04f40E5684f3e5718F9239B5d64a,@goon_crypto,「 𝕲𝖔𝖔𝖓」,12202.7495,8,32.00
0xA05da0C8bdd7a077607C78CA0fa8A040e7D79DaC,@Palash433,Palash,10057.7321,7,28.00
0x9D3CA3A3Da4d033ACee296D4C1829cc5143e0fAE,@Punisher3505,Frank.eth,12614.5063,7,28.00
0xC70D7342332eCF3c26F991FdBC85A8b8AB1A48bA,@Trong_Hatachi,"Trong Hatachi (❖,❖)",10153.8924,5,20.00
0x88b791A2fA058B183Ccbfc11d36027C7a7e0D362,@Jiankang_0909,健康JK,10081.3882,4,16.00
0xC6dB3110E8d0290200371dE6548A3174f5701d47,@JokerIBlack,Joker 🐳,10579.5355,2,8.00
0x4830764Cb1252Fc7553231E2FBF5b09961a29c59,@hitasyurek,hitas.base.eth,11856.8880,2,8.00
0x6d69e2d103CE4C147Fa189ee3fdfB88159C907cf,@0xweekend59,Conan.eth,10001.0000,2,8.00
0x40A2C0F8D5b2B42059be294e25cE7bcaF1ddc652,@sheepmek1,sheepmek,10122.1859,2,8.00
0x471fAF231212caAD6554B4E3ec1fC5255f36F468,@tcmalpha,alfakeko,10208.3632,2,8.00
0x04feE3fC468ac0595eE56F1913005F220c5685fD,@RXu107,一千万是只猫,63823.2679,1,4.00
0x96993C0aB74299f3C304a08DE30Dc2a3f1E072b4,@bigmanstuff0,VULCAN 🌋,10382.0190,1,4.00
0x7fCbefaE32efde50630e91B8B2346887838a7fbD,@dd1fx,"CODY01ETH (*,*)",15177.1859,1,4.00
