username,name,wallet,total_score,total_posts,total_views,point_percentage
Goon_crypto,Goon,0x73B6bdf237eD04f40E5684f3e5718F9239B5d64a,145.50,8,889312,2.39
0xzagen,zagen,0x1aad084517ea492a67fcca54048c7e0404ce1ab2,112.00,4,7356,1.84
jbcollins01,JBCollins,0x4ca432c4698db24259810d3696c2048a69906891,83.00,9,54395,1.36
denispodd_17,denispodd,0xf517cd0843aefca24046d0ed02d6e04393678ab8,75.20,10,12789,1.23
3DMax_Virtuals,3DMax_Virtuals,,75.00,2,0,1.23
0xweekend59,Conan.eth,0xa25CA0AB85421292725Ebda66e07C7C92b14F021,74.50,13,48747,1.22
bizbrainzuni,Biz Brain,0xd5A065E5c38c7d87f6B90e920f4e1aCc9722d97a,73.98,11,1364038,1.21
zyllona,Zyllona,0x93e21001370ebfc72e5f3e8c8a8338fb7c6907bc,55.49,6,27426,0.91
0xRiRoyal,riRoyal.Base.eth,0x037CE8F01B71942E0dd12E81ebeA73dCD4e1afb7,48.50,5,5756,0.80
tienho_nyx,Nyx,0x5e6e06c673e199062a4779aa0dd47df445c88e41,48.00,5,9498,0.79
77bncvbsdcg,Faustino,0x08EeF384cff15b1518f214bF491cF72AD1c6f79f,47.75,5,11513,0.78
0xKeng,Keng N,0xD924d8402Ce135957DC35fe338C61690e24861aD,46.96,5,4757,0.77
rickdeetweets,Richard,0xecec188d4299d8f00d8942f9b2e9b7210e9bb614,44.45,5,11400,0.73
Bigmanstuff0,vulcan,0x96993C0aB74299f3C304a08DE30Dc2a3f1E072b4,43.07,5,9103,0.71
RMac_5,Ragen,0xaaf3630e8bd9f09ac5b9861a734029122c4b194b,42.00,5,14744,0.69
CnVL8,ALong,0x885e477afd23e6f915a9cabe6e6dba076464de5a,41.95,5,3416,0.69
0xCellep,Cellep,0xA49678827288d5327227Af3517D602dca6d5Ba56,40.57,18,5099,0.67
HEiMajesty,Divine,0x650fD15d0D50E05cE202deC392096E9cff78BD57,40.09,6,5527,0.66
INOKAMIKAGURA,Kagura,0x171b5b46555e33e0674436acec2663980242adc6,40.03,5,4187,0.66
0xFatih,Fatih,0x2f6e4df72fc4c8defc63fbeab367348da0a4fbdf,39.97,7,9328,0.66
ler_oyy,Oguntoba folagbade williams,0xdd8062e955799ddb7e1849ef1f830345e3a13d72,39.31,5,4169,0.65
theeeApostle,Aista,0xC8D3ddeF1Fc8240739D60965a102E3F7bf8BAE30,38.00,4,11194,0.62
TrieuTiger,TrieuTiger,0xd10E26a2fbfe2732cA442BB697fba9eB1e754c6D,37.84,5,19742,0.62
0xHeroe_,Heroe,0xc2220f187c1be3eef9c165453af54b1d2b758dcf,37.75,4,10481,0.62
Shawnn_moon,shawn.ip 🌕,0x16356f0dc7f6c8423e5daa899cfde7162f58159f,37.67,5,7676,0.62
maanar_ooo,Manaro| Endless 𒀭,0x49A11267E4b16c576bFE2bb6725e36D8Fe759E7B,37.50,5,2096,0.62
Realboybr,Realboy,0xdeB66d0B70A20cb084645e7799D3b7E55b7E6D17,36.65,5,3166,0.60
hbo_data,HBO,0x1A062aA6EFD4Be430B71Fa1436d72ec24bB381AB,36.63,6,2140,0.60
KaylashowDq,Kayla,0x9574ba2c8a3cacca41959765d2d05eb431001bf8,36.50,4,13023,0.60
Villa_PHM,Golden Ducky,0x3BE469353358d9b92078e9601278088ee0205CAe,36.48,5,889,0.60
KGeNazeemali12,Azeemali,0xe5e84bcf3e570bb3c690363b9e54bbdd8449ea5f,35.74,13,19144,0.59
PPham101295,Pham Phu Dung,0x9f4eb3a88ba7a263facebd58d56b6c6f879db34f,35.28,5,6701,0.58
ajjeee__,Ajjeee,0x1cc25b09bfdcc5a3d10da91a694e0000c7a2142c,34.09,4,8206,0.56
sothh84,Sothh,0x2AA3D9acc0818855Cf7F1567a6C235B9702246D5,33.85,7,2542,0.56
azaztrader01,Ozan,0xDaa357631250d237E46C2648c7CbF32Ed470A55d,33.30,4,4708,0.55
amosope2,Yemi,0xb60914d451886297FE4e3517bc0970BAC1E4E0B9,32.74,6,1000,0.54
dinhturin,dinhxomgon,0x9c3419a8d3b46e5c7150e8f6e3ec1a8afc1e9db9,32.71,4,2686,0.54
khoirulr331,Khoirul Roziqin,0xec5bEB264d0b7Bb0A3a1A686050F3b00eD8F33De,32.12,12,19284,0.53
stuyzy27,stuyzy kenz,0xa76823d55a93378f5b08bb5e2725a49c6688cad8,32.07,5,5131,0.53
rare_bd,Rare,0x271c72589f10D8eA866eDB97b9db09ab12ab9721,31.71,6,973,0.52
Trong_Hatachi,Trong Hatachi,0xC70D7342332eCF3c26F991FdBC85A8b8AB1A48bA,31.05,4,2794,0.51
Jessdotfun,Jess,0x116bC2E4CEC40EaD576cCC8E5d21f95B9D5e4917,30.93,14,10519,0.51
xleva_eth,xleva,0x7C49e8233598F30d0c641A8AEAe26Fe411337dC9,30.35,4,7978,0.50
0reweb3,0reweb3,0x182c60f0d2beb81C99B7f52b3f1310F670294B45,30.21,5,6038,0.50
Anh_Mot0,Anh Mô Tô,0xc8FAD07aa89174dE09dE18b6ddC79968204382c6,29.00,4,233,0.48
Dapper_cea,Dapper,0x590997bf8f5249fb6703c151ddd7c19b0434abd3,28.96,5,3185,0.48
lev_eth,LEV,0x6c3a90c5Da8b1D74dEdE154B0e441927F2C97524,27.24,5,2739,0.45
bencryptovnn,Ben Crypto,0x2d8E97569C42d3A387E948a6A8bCd6474B47E39b,27.19,5,3537,0.45
kappybruh,David,0x863e3ca52239be57ff34209f26f416f4a083de3d,26.75,3,15545,0.44
glomay22,Glomay,0xAAf4eF6d1c4fDE4663D8c4F6dA97B20785eDF14C,26.44,5,1085,0.43
saoha93,ha,0x9219d387224d1d9bc9009cb6395a2f2e0094726b,26.40,3,3604,0.43
olapadesam00,samest,0x0A98FfB8E9702E093AfBefD50A228E6B4b8A1a80,26.38,5,1024,0.43
tranthanhbk,Trấn Thành,0xc83c8916a1b9414de7f42deef4eb01917ec74451,26.37,3,9187,0.43
0xSprite_,𝕊𝕡𝕣𝕚𝕥𝕖,0xe2f6aebd4dff1c6593fb0a645d5a6b3ba8111a38,26.30,4,2969,0.43
traderibo123,Traderibo,0x7eac578521fe48f8ef5068563f67e768b8a85f9d,26.19,3,5387,0.43
0x_Kalista,Kalista,0x4548534b1a5b599F57AeA9e7e2174603bf0d967b,26.16,3,11963,0.43
Thaiha_nhth,Hannah,0x15123bE4663dDe5eba8a4457A3050a3545367c05,25.89,3,3877,0.42
catinat25,Catinat,0xbAbFF80ceDFb5D663332D8DA03c56be85293627C,25.82,3,3331,0.42
loho_a,preshy🦾,0x74c973dd8cfbba12af5542b3e0bbd4b27526a119,25.65,3,2396,0.42
0xAybars,Aybars,0x2C8B5f6E7CFbaA12226Eb288Eb75624016cD1727,25.56,3,15367,0.42
wa_pc34178,Nafiz,0xaec1616b0F1556bCa708Ea431e5eE7Bc2D6d5E36,25.50,5,1274,0.42
HakanBilgetekin,hakan,0xF5C7F48887536E4E8F4a947472546bA81E74c569,25.50,3,14282,0.42
Drkhaleefah2,Medico,0xb0c7084fc05ed9827683dc38766a930d083af6c4,25.29,12,8649,0.41
er_madamce,KASIM Muhammad,0xFfFb536b929118A05785786f182333ff855d4339,25.26,3,1446,0.41
Hieutrinhvn,Mr. Jax 🐬TermMax,0x03193b2a5580ed18cb36efdac81b323bc746f33e,25.11,3,1194,0.41
EyoAugusti73181,EyoAugusti,0x71e8E723a83305C8625AfA7BD135e502F7714d09,25.00,3,1137,0.41
siraj_dev122,Daniel,0xfc7e35F51c1Cf318fccbe677D9289924ec852164,24.84,3,1517,0.41
thuykeo56,Thuy Signals,0x0d73E1f2bbdB8a39C19e94fF71C6765429DDE485,24.80,4,1875,0.41
Web3Sam10,SAM ⛩️ ( Nasun Arc ),0x8dedce1aff9385ef6f825eec381e13bd422c6be9,24.60,3,2625,0.40
Jimmysnooploo,Jimmysnooploo,0x91d49E37c64eb0cb24D24Ed2D38119c9AB78f3D5,24.59,5,3503,0.40
dang_duytan,Duy Tan Dang,0x6e7dbb10343c03da3f07dc6b6a4747c7748fd47a,24.55,9,37256,0.40
NeoORDON,WARDON,0x5e391fa2c129502de431fe5a44ec0184ecaa1682,24.54,3,3993,0.40
jitusorkar12,SADIQ ,0x002CcB36a4e4Da1c24c6C84F8939D0141529c3ef,24.39,3,1654,0.40
Phu_Prosperity8,edgar,0xc2ce378434bF3500e5CF894F7eC57Be6C8AA1466,24.36,3,3182,0.40
sol_ayfr_,ayıfero,0xABE08B81Dd3D7d67d8Aa753CE37195D02aB4383D,24.19,4,4709,0.40
Wozbekk,Wozbekk,0x19221Aa28cc6269293bC6A3bae4001C93CE38cBf,24.12,5,3070,0.40
Sajib_999,Sajib,0xba2F6Bb9BF00822080FF5F58205b323495A460c8,23.94,3,563,0.39
yapslingerx,SlingerX,0x0D0Db9fB2D2E051b33216c3f42f77F9b3c3C93e3,23.50,3,5816,0.39
0x_Nihal,Ahonaf Shariar Nihal,0x3e84F76A360af2fb9e2b33fe015d7bdd3953b260,23.39,4,1177,0.38
Faithmeta_x,Faith,0x88ec7156802fcafd959f7d7e33c010f60b76aec0,23.37,13,3390,0.38
Blackmiami2,Black Miami🧚🏿‍♂️,0x86678f2b6ca3f126666c59612f2428528340cfb6,22.46,3,3122,0.37
StharDus,StharDus,0xA397D5304b5B2AAA7121c26341A0c636af080064,22.39,5,877,0.37
torettoj283,rheRealjohnDoe⛓️🎗️ボッ,0x8074C4Fe871B511Cd7416083b15fA72AE68fE8ce,22.25,3,1373,0.37
ItsDackie,ItsDackie,0xdb79578522d2397341954831911b71712136282c,22.13,4,2569,0.36
