rank,username,name,avatar,wallet,posts,score,avg
1,Goon_crypto,Goon,https://images.asksurf.ai/GJJy00tP8wO665fEfvCKeVZAceeNMl8mOThIqnnNdhw/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDU1ODY0MTQxMjIyNzA3MjAvQ3V6RjBrcXlfbm9ybWFsLmpwZw,0x73B6bdf237eD04f40E5684f3e5718F9239B5d64a,20,145.00,7.25
2,0xzagen,zagen,https://images.asksurf.ai/uhSZq0zbkXrsu1XKh2uPJm4BWoCsGdOs1oICccHcRI4/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5ODM0MjMyMDQzODQ1NTA5MTIvb2xUVUg5SnFfbm9ybWFsLmpwZw,0x1aad084517ea492a67fcca54048c7e0404ce1ab2,14,110.00,7.86
3,100xDarren,100xDarren,,0xccd05831016B444fFC83F6dA2e018F62849ab34A,14,101.00,7.21
4,0xweekend59,Conan.eth,https://images.asksurf.ai/VdtUNC7gJOUJBqHFR-Pdb1UEbKqvOFCrSlnQPU6yZW4/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE4ODg3ODc3MTczOTc1NDQ5NjEvZ1FPcTd4dTAucG5n,0xa25CA0AB85421292725Ebda66e07C7C92b14F021,17,83.75,4.93
5,3DMax_Virtuals,3DMax_Virtuals,,0xA18c066fC86B9e8a91287496ab954fcc414a30AA,9,75.00,8.33
6,jbcollins01,JBCollins,https://images.asksurf.ai/CNLnOAS8Obkd8kNCAraxDDrM4MQmwTl2dkfuvcL4dIE/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE4ODk2MjI4MjY0NzIwOTU3NDQvRWRJN2JYZTAuanBn,0x4ca432c4698db24259810d3696c2048a69906891,13,73.50,5.65
7,bizbrainzuni,Biz Brain,https://images.asksurf.ai/d1Mnn0XGCZ-ePJI42wPaqAuQr-N29GJbSTmG28WkWkk/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzk0MDk3MzUzNjQyMDY1OTIvZ2t0Vy1rN0YuanBn,0xd5A065E5c38c7d87f6B90e920f4e1aCc9722d97a,15,71.70,4.78
8,0xAybars,Ayvaras,https://images.asksurf.ai/XKFkyKDZmRxiuyimGV4Xdew_UCNw4as4dzkKBsDQnhE/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NzAzNjU4NTM3NTAxOTAwODAvXzQ1NW54ZksuanBn,0x2C8B5f6E7CFbaA12226Eb288Eb75624016cD1727,12,66.86,5.57
9,Drkhaleefah2,MEDICO,https://images.asksurf.ai/XHDQqB71op_TuiVU_U5kESy3WbxEtTL1oRn8UOWorxA/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5MTQyNTM5Mzk5NzA1NTE4MDkvc01vN0ZGUlkuanBn,0xb0c7084fc05ed9827683dc38766a930d083af6c4,47,65.00,1.38
10,office2crypto,office2crypto,https://images.asksurf.ai/hPShDUUHN1p_Z5Y9gITNOl9p3cBdiIYgn2xdOYhzIrQ/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5MDM5MzIxNzU2Mjk5MjIzMDQvZFVUZjBVUElfbm9ybWFsLmpwZw,0x97Bc998dBDD5D5a9df74cB589F4eabd516D4a22A,8,63.00,7.88
11,Versiqxyz,Versiq,https://images.asksurf.ai/yRExVOJNwzM6KPbgokUn_ej_ZZ09uRRq3BGgIm5o24c/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDE0NTA5ODA4NzgwMTI0MTYvUG5RRVpCX1IuanBn,0xf4cd01c5d73f11b4894e42108f26a7cd1bcf80a6,15,60.00,4.00
12,khoirulr331,Roziqin,https://images.asksurf.ai/C9aymWZcrtkPN7VVevRnX0_mD42nEIQYuXE6GYUs9yA/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NjA2NDAzMTMyMTY5MTc1MDkvMWZQZUUwSHcuanBn,0xec5bEB264d0b7Bb0A3a1A686050F3b00eD8F33De,16,59.40,3.71
13,0xcrispdal,Crispy,https://images.asksurf.ai/yGNyP3l_AFEQF7lpuDuTWTjwlluye6TI5YxU6Pyka_Y/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5ODcwMzcwMTU2NDk0Mjc0NTYvVlNud0c2dHouanBn,0x8a5348b3f0c98be7dfdb96f5a3ebc25b6047e306,11,58.54,5.32
14,Adetokun_Isaiah,zaiahchoco,https://images.asksurf.ai/zPnYo-qTBBjqZhMQ4EJ9i3s6dJLsmUSMIU3HvZJPqIo/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDY2MTk1Njg1ODQ3NDkwNTYvU29mUzNaNU5fbm9ybWFsLmpwZw,0x6a164c14bcc4fd458e4b5d2d509e1506a5c21cd7,7,58.00,8.29
15,CARTOONIST_MC1,Ēl ChĀPø,https://images.asksurf.ai/ITQRj2chYhl-TqoEAvWcgUxkZsuvqqO3PMhta_Y82sQ/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMTA0NzgwNTI3NDkzMTIwMDAvYUdqWG9KUTJfbm9ybWFsLmpwZw,0xcE2f6E6a221f44a1C42636769Cde1146dE50D64B,10,57.25,5.72
16,Tam110723,Heart 🇻🇳,https://images.asksurf.ai/8yCExFs4L8Vqvec_Ziva0kr-rAuPSWkrqQRdbAY8N_w/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMjU1MTI1OTIyMDMyMTQ4NDgvamRmRXZIMU0uanBn,0xc7AC22524dF380005C6D60B9d81f7a52a3B638E6,13,56.75,4.37
17,sothh84,Sothh.HC,https://images.asksurf.ai/bBbVnuMxllJRR0H0NMPMBIOSLckn7xGeVku5SpX9xdk/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDY1MzYwNjQ1MzQ0NjI0NjQvS3RzazJkTVYuanBn,0x2AA3D9acc0818855Cf7F1567a6C235B9702246D5,11,55.00,5.00
